epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,642.346,0.67067,0.70804,1.08346,0.91643,0.92996,0.96937,0.82281,0.64225,0.68537,0.96225,0.000555117,0.000555117,0.000555117
2,1278.56,0.61767,0.55899,1.04332,0.95505,0.96201,0.98456,0.90117,0.42608,0.38758,0.86045,0.0010558,0.0010558,0.0010558
3,1908.7,0.56613,0.50814,1.0201,0.98058,0.97786,0.9892,0.91372,0.44145,0.30674,0.87007,0.00150147,0.00150147,0.00150147
4,2539.79,0.51472,0.45477,0.99402,0.97714,0.9791,0.98944,0.94108,0.35779,0.28444,0.83235,0.00141945,0.00141945,0.00141945
5,3172.53,0.47852,0.41632,0.97703,0.98464,0.9862,0.99038,0.95556,0.32438,0.24891,0.8133,0.00133693,0.00133693,0.00133693
6,3802.68,0.4566,0.393,0.96254,0.97956,0.98079,0.98922,0.95884,0.29387,0.25022,0.80534,0.00125442,0.00125442,0.00125442
7,4434.77,0.43879,0.37551,0.95514,0.98551,0.99021,0.99126,0.95751,0.31738,0.22741,0.8052,0.0011719,0.0011719,0.0011719
8,5062.87,0.42356,0.35897,0.94942,0.98202,0.98999,0.99081,0.96855,0.27574,0.21157,0.7944,0.00108938,0.00108938,0.00108938
9,5694.24,0.40511,0.34156,0.93962,0.98355,0.99522,0.99136,0.97123,0.26717,0.20049,0.78759,0.00100687,0.00100687,0.00100687
10,6323.18,0.39757,0.33222,0.93612,0.98864,0.99157,0.99157,0.9713,0.25815,0.19572,0.78942,0.000924352,0.000924352,0.000924352
11,6948.79,0.29427,0.24153,0.85165,0.9854,0.99415,0.99264,0.97389,0.26534,0.19892,0.7928,0.000841835,0.000841835,0.000841835
12,7575.99,0.27939,0.22291,0.84258,0.99133,0.98862,0.9937,0.97606,0.2505,0.18222,0.78003,0.000759318,0.000759318,0.000759318
13,8202.81,0.26512,0.20794,0.83785,0.99288,0.98841,0.99345,0.97503,0.24272,0.17441,0.77501,0.000676802,0.000676802,0.000676802
14,8826,0.25673,0.19736,0.83438,0.99194,0.99042,0.99403,0.97981,0.23035,0.1675,0.7697,0.000594286,0.000594286,0.000594286
15,9451.04,0.24773,0.18948,0.83043,0.99321,0.98949,0.99403,0.98097,0.22788,0.16196,0.76933,0.000511769,0.000511769,0.000511769
16,10078.3,0.23828,0.17851,0.82984,0.99504,0.99084,0.99406,0.98208,0.21011,0.15403,0.7674,0.000429253,0.000429253,0.000429253
17,10704.2,0.22908,0.17025,0.82633,0.99454,0.99513,0.99409,0.98491,0.20225,0.14611,0.763,0.000346736,0.000346736,0.000346736
18,11325.4,0.22116,0.16074,0.82456,0.99275,0.9942,0.99408,0.98506,0.19852,0.13991,0.76099,0.00026422,0.00026422,0.00026422
19,11951.5,0.21238,0.15151,0.82166,0.99374,0.99681,0.99411,0.98555,0.19801,0.13332,0.76018,0.000181703,0.000181703,0.000181703
20,12577.9,0.20458,0.14427,0.81913,0.99592,0.99619,0.99408,0.98594,0.19547,0.12978,0.75832,9.91865e-05,9.91865e-05,9.91865e-05
